Ê±¼ä,Q1,Q2,Q3,QT1,QT2,,0.05,,,,,
0.255,0.0006,0.00001,0,0.00078,0.00001,,,0.305577491,0.005092958,0,0.397250738,0.005092958
0.26,0.00056,0.00001,0,0.00076,0.00001,,,0.285205658,0.005092958,0,0.387064822,0.005092958
0.265,0.00053,0.00001,0,0.00073,0.00001,,,0.269926783,0.005092958,0,0.371785947,0.005092958
0.27,0.00049,0.00001,0,0.0007,0.00001,,,0.249554951,0.005092958,0,0.356507073,0.005092958
0.275,0.00045,0.00001,0,0.00067,0,,,0.229183118,0.005092958,0,0.341228198,0
0.28,0.00041,0.00001,0,0.00063,0,,,0.208811285,0.005092958,0,0.320856365,0
0.285,0.00037,0.00001,0,0.0006,0,,,0.188439453,0.005092958,0,0.305577491,0
0.29,0.00033,0.00001,0,0.00057,0,,,0.16806762,0.005092958,0,0.290298616,0
0.295,0.00028,0.00001,0,0.00053,0,,,0.142602829,0.005092958,0,0.269926783,0
0.3,0.00023,0.00001,0,0.00049,0,,,0.117138038,0.005092958,0,0.249554951,0
0.305,0.00019,0.00001,0,0.00045,0,,,0.096766205,0.005092958,0,0.229183118,0
0.31,0.00014,0.00001,0,0.00041,0,,,0.071301415,0.005092958,0,0.208811285,0
0.315,0.00007,0.00001,0,0.00037,0,,,0.035650707,0.005092958,0,0.188439453,0
0.32,0.00002,0.00001,0,0.00033,0,,,0.010185916,0.005092958,0,0.16806762,0
0.325,0.00002,0.00001,0,0.00028,0,,,0.010185916,0.005092958,0,0.142602829,0
0.33,0.00002,0.00001,0,0.00024,0,,,0.010185916,0.005092958,0,0.122230996,0
0.335,0.00001,0.00001,0,0.00019,0,,,0.005092958,0.005092958,0,0.096766205,0
0.34,0.00001,0.00001,0,0.00014,0,,,0.005092958,0.005092958,0,0.071301415,0
0.345,0.00001,0.00001,0,0.00008,0,,,0.005092958,0.005092958,0,0.040743665,0
0.35,0.00001,0.00001,0,0.00003,0,,,0.005092958,0.005092958,0,0.015278875,0
0.355,0.00001,0.00001,0,0,0,,,0.005092958,0.005092958,0,0,0
0.36,0.00001,0.00001,0,-0.00003,0,,,0.005092958,0.005092958,0,-0.015278875,0
0.365,0.00001,0.00001,0,-0.00006,0,,,0.005092958,0.005092958,0,-0.030557749,0
0.37,0.00001,0.00001,0,-0.00009,0,,,0.005092958,0.005092958,0,-0.045836624,0
0.375,0.00001,0.00001,0,-0.00012,0,,,0.005092958,0.005092958,0,-0.061115498,0
0.38,0.00001,0.00001,0,-0.00015,0,,,0.005092958,0.005092958,0,-0.076394373,0
0.385,-0.00001,0.00001,0,-0.00019,0,,,-0.005092958,0.005092958,0,-0.096766205,0
0.39,-0.00004,0.00001,0,-0.00022,0,,,-0.020371833,0.005092958,0,-0.11204508,0
0.395,-0.00007,0.00001,0,-0.00026,0,,,-0.035650707,0.005092958,0,-0.132416913,0
0.4,-0.00009,0.00001,0,-0.0003,0,,,-0.045836624,0.005092958,0,-0.152788745,0
0.405,-0.00012,0.00001,0,-0.00033,0,,,-0.061115498,0.005092958,0,-0.16806762,0
0.41,-0.00016,0.00001,0,-0.00037,0,,,-0.081487331,0.005092958,0,-0.188439453,0
0.415,-0.00019,0.00001,0,-0.00041,0,,,-0.096766205,0.005092958,0,-0.208811285,0
0.42,-0.00022,0.00001,0,-0.00046,0,,,-0.11204508,0.005092958,0,-0.234276076,0
0.425,-0.00026,0.00001,0,-0.0005,0,,,-0.132416913,0.005092958,0,-0.254647909,0
0.43,-0.0003,0.00001,0,-0.00055,0,,,-0.152788745,0.005092958,0,-0.2801127,0
0.435,-0.00033,0.00001,0,-0.00059,0,,,-0.16806762,0.005092958,0,-0.300484533,0
0.44,-0.00037,0.00001,0,-0.00064,0,,,-0.188439453,0.005092958,0,-0.325949323,0
0.445,-0.00041,0.00001,0,-0.0007,0,,,-0.208811285,0.005092958,0,-0.356507073,0
0.45,-0.00046,0.00001,0,-0.00076,0,,,-0.234276076,0.005092958,0,-0.387064822,0
0.455,-0.0005,0.00001,0,-0.00076,0,,,-0.254647909,0.005092958,0,-0.387064822,0
0.46,-0.00055,0.00001,0,-0.00077,0,,,-0.2801127,0.005092958,0,-0.39215778,0
0.465,-0.00059,-0.00002,0,-0.00077,0,,,-0.300484533,-0.010185916,0,-0.39215778,0
0.47,-0.00064,-0.00004,0,-0.00077,0,,,-0.325949323,-0.020371833,0,-0.39215778,0
0.475,-0.0007,-0.00007,0,-0.00077,0,,,-0.356507073,-0.035650707,0,-0.39215778,0
0.48,-0.00075,-0.0001,0,-0.00077,0,,,-0.381971863,-0.050929582,0,-0.39215778,0
0.485,-0.00076,-0.00013,0,-0.00077,0,,,-0.387064822,-0.066208456,0,-0.39215778,0
0.49,-0.00077,-0.00016,0,-0.00077,0,,,-0.39215778,-0.081487331,0,-0.39215778,0
0.495,-0.00077,-0.00019,0,-0.00077,0,,,-0.39215778,-0.096766205,0,-0.39215778,0
0.5,-0.00077,-0.00022,0,-0.00077,0,,,-0.39215778,-0.11204508,0,-0.39215778,0
0.505,-0.00077,-0.00026,0,-0.00077,-0.00002,,,-0.39215778,-0.132416913,0,-0.39215778,-0.010185916
0.51,-0.00077,-0.00029,0,-0.00077,-0.00004,,,-0.39215778,-0.147695787,0,-0.39215778,-0.020371833
0.515,-0.00077,-0.00033,0,-0.00077,-0.00007,,,-0.39215778,-0.16806762,0,-0.39215778,-0.035650707
0.52,-0.00077,-0.00037,0,-0.00077,-0.0001,,,-0.39215778,-0.188439453,0,-0.39215778,-0.050929582
0.525,-0.00077,-0.00041,0,-0.00077,-0.00013,,,-0.39215778,-0.208811285,0,-0.39215778,-0.066208456
0.53,-0.00077,-0.00045,0,-0.00077,-0.00016,,,-0.39215778,-0.229183118,0,-0.39215778,-0.081487331
0.535,-0.00077,-0.0005,0,-0.00077,-0.00019,,,-0.39215778,-0.254647909,0,-0.39215778,-0.096766205
0.54,-0.00077,-0.00054,0,-0.00077,-0.00022,,,-0.39215778,-0.275019742,0,-0.39215778,-0.11204508
0.545,-0.00077,-0.00059,-0.00002,-0.00077,-0.00026,,,-0.39215778,-0.300484533,-0.010185916,-0.39215778,-0.132416913
0.55,-0.00077,-0.00063,-0.00004,-0.00077,-0.00029,,,-0.39215778,-0.320856365,-0.020371833,-0.39215778,-0.147695787
0.555,-0.00077,-0.00069,-0.00007,-0.00077,-0.00033,,,-0.39215778,-0.351414114,-0.035650707,-0.39215778,-0.16806762
0.56,-0.00077,-0.00075,-0.0001,-0.00077,-0.00037,,,-0.39215778,-0.381971863,-0.050929582,-0.39215778,-0.188439453
0.565,-0.00077,-0.00076,-0.00012,-0.00077,-0.00041,,,-0.39215778,-0.387064822,-0.061115498,-0.39215778,-0.208811285
0.57,-0.00077,-0.00076,-0.00016,-0.00077,-0.00045,,,-0.39215778,-0.387064822,-0.081487331,-0.39215778,-0.229183118
0.575,-0.00077,-0.00076,-0.00019,-0.00077,-0.00049,,,-0.39215778,-0.387064822,-0.096766205,-0.39215778,-0.249554951
0.58,-0.00077,-0.00076,-0.00022,-0.00078,-0.00054,,,-0.39215778,-0.387064822,-0.11204508,-0.397250738,-0.275019742
0.585,-0.00077,-0.00076,-0.00025,-0.00078,-0.00058,,,-0.39215778,-0.387064822,-0.127323954,-0.397250738,-0.295391574
0.59,-0.00077,-0.00077,-0.00029,-0.00078,-0.00063,,,-0.39215778,-0.39215778,-0.147695787,-0.397250738,-0.320856365
0.595,-0.00077,-0.00077,-0.00033,-0.00078,-0.00069,,,-0.39215778,-0.39215778,-0.16806762,-0.397250738,-0.351414114
0.6,-0.00077,-0.00077,-0.00037,-0.00078,-0.00074,,,-0.39215778,-0.39215778,-0.188439453,-0.397250738,-0.376878905
0.605,-0.00077,-0.00077,-0.00041,-0.00078,-0.00075,,,-0.39215778,-0.39215778,-0.208811285,-0.397250738,-0.381971863
0.61,-0.00077,-0.00077,-0.00045,-0.00078,-0.00076,,,-0.39215778,-0.39215778,-0.229183118,-0.397250738,-0.387064822
0.615,-0.00077,-0.00077,-0.00049,-0.00078,-0.00076,,,-0.39215778,-0.39215778,-0.249554951,-0.397250738,-0.387064822
0.62,-0.00077,-0.00077,-0.00053,-0.00078,-0.00076,,,-0.39215778,-0.39215778,-0.269926783,-0.397250738,-0.387064822
0.625,-0.00077,-0.00077,-0.00058,-0.00078,-0.00076,,,-0.39215778,-0.39215778,-0.295391574,-0.397250738,-0.387064822
0.63,-0.00078,-0.00077,-0.00063,-0.00078,-0.00076,,,-0.397250738,-0.39215778,-0.320856365,-0.397250738,-0.387064822
0.635,-0.00078,-0.00077,-0.00069,-0.00078,-0.00076,,,-0.397250738,-0.39215778,-0.351414114,-0.397250738,-0.387064822
0.64,-0.00078,-0.00077,-0.00074,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.376878905,-0.397250738,-0.39215778
0.645,-0.00078,-0.00077,-0.00075,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.381971863,-0.397250738,-0.39215778
0.65,-0.00078,-0.00077,-0.00075,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.381971863,-0.397250738,-0.39215778
0.655,-0.00078,-0.00077,-0.00076,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.387064822,-0.397250738,-0.39215778
0.66,-0.00078,-0.00077,-0.00076,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.387064822,-0.397250738,-0.39215778
0.665,-0.00078,-0.00077,-0.00074,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.376878905,-0.397250738,-0.39215778
0.67,-0.00078,-0.00077,-0.00072,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.366692989,-0.397250738,-0.39215778
0.675,-0.00078,-0.00077,-0.00069,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.351414114,-0.397250738,-0.39215778
0.68,-0.00078,-0.00077,-0.00067,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.341228198,-0.397250738,-0.39215778
0.685,-0.00078,-0.00077,-0.00064,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.325949323,-0.397250738,-0.39215778
0.69,-0.00078,-0.00077,-0.00061,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.310670449,-0.397250738,-0.39215778
0.695,-0.00078,-0.00077,-0.00058,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.295391574,-0.397250738,-0.39215778
0.7,-0.00078,-0.00077,-0.00055,-0.00078,-0.00077,,,-0.397250738,-0.39215778,-0.2801127,-0.397250738,-0.39215778
0.705,-0.00078,-0.00077,-0.00052,-0.00078,-0.00075,,,-0.397250738,-0.39215778,-0.264833825,-0.397250738,-0.381971863
0.71,-0.00078,-0.00077,-0.00048,-0.00078,-0.00073,,,-0.397250738,-0.39215778,-0.244461993,-0.397250738,-0.371785947
0.715,-0.00078,-0.00077,-0.00045,-0.00078,-0.0007,,,-0.397250738,-0.39215778,-0.229183118,-0.397250738,-0.356507073
0.72,-0.00078,-0.00077,-0.00041,-0.00078,-0.00068,,,-0.397250738,-0.39215778,-0.208811285,-0.397250738,-0.346321156
0.725,-0.00078,-0.00077,-0.00037,-0.00078,-0.00065,,,-0.397250738,-0.39215778,-0.188439453,-0.397250738,-0.331042282
0.73,-0.00078,-0.00077,-0.00033,-0.00078,-0.00062,,,-0.397250738,-0.39215778,-0.16806762,-0.397250738,-0.315763407
0.735,-0.00078,-0.00077,-0.00029,-0.00078,-0.00059,,,-0.397250738,-0.39215778,-0.147695787,-0.397250738,-0.300484533
0.74,-0.00078,-0.00077,-0.00025,-0.00078,-0.00056,,,-0.397250738,-0.39215778,-0.127323954,-0.397250738,-0.285205658
0.745,-0.00078,-0.00076,-0.0002,-0.00078,-0.00053,,,-0.397250738,-0.387064822,-0.101859164,-0.397250738,-0.269926783
0.75,-0.00078,-0.00073,-0.00016,-0.00078,-0.00049,,,-0.397250738,-0.371785947,-0.081487331,-0.397250738,-0.249554951
0.755,-0.00078,-0.00071,-0.0001,-0.00078,-0.00046,,,-0.397250738,-0.361600031,-0.050929582,-0.397250738,-0.234276076
0.76,-0.00078,-0.00068,-0.00005,-0.00078,-0.00042,,,-0.397250738,-0.346321156,-0.025464791,-0.397250738,-0.213904244
0.765,-0.00078,-0.00066,-0.00003,-0.00078,-0.00038,,,-0.397250738,-0.33613524,-0.015278875,-0.397250738,-0.193532411
0.77,-0.00078,-0.00063,-0.00003,-0.00078,-0.00034,,,-0.397250738,-0.320856365,-0.015278875,-0.397250738,-0.173160578
0.775,-0.00078,-0.0006,-0.00002,-0.00078,-0.0003,,,-0.397250738,-0.305577491,-0.010185916,-0.397250738,-0.152788745
0.78,-0.00078,-0.00057,-0.00002,-0.00078,-0.00026,,,-0.397250738,-0.290298616,-0.010185916,-0.397250738,-0.132416913
0.785,-0.00078,-0.00053,-0.00002,-0.00078,-0.00021,,,-0.397250738,-0.269926783,-0.010185916,-0.397250738,-0.106952122
0.79,-0.00078,-0.0005,-0.00002,-0.00078,-0.00017,,,-0.397250738,-0.254647909,-0.010185916,-0.397250738,-0.086580289
0.795,-0.00078,-0.00046,-0.00002,-0.00078,-0.00011,,,-0.397250738,-0.234276076,-0.010185916,-0.397250738,-0.05602254
0.8,-0.00078,-0.00043,-0.00002,-0.00078,-0.00006,,,-0.397250738,-0.218997202,-0.010185916,-0.397250738,-0.030557749
0.805,-0.00078,-0.00039,-0.00002,-0.00078,-0.00004,,,-0.397250738,-0.198625369,-0.010185916,-0.397250738,-0.020371833
0.81,-0.00078,-0.00035,-0.00002,-0.00078,-0.00003,,,-0.397250738,-0.178253536,-0.010185916,-0.397250738,-0.015278875
0.815,-0.00078,-0.00031,-0.00001,-0.00078,-0.00003,,,-0.397250738,-0.157881704,-0.005092958,-0.397250738,-0.015278875
0.82,-0.00078,-0.00026,-0.00001,-0.00078,-0.00003,,,-0.397250738,-0.132416913,-0.005092958,-0.397250738,-0.015278875
0.825,-0.00076,-0.00022,-0.00001,-0.00078,-0.00003,,,-0.387064822,-0.11204508,-0.005092958,-0.397250738,-0.015278875
0.83,-0.00074,-0.00017,-0.00001,-0.00078,-0.00003,,,-0.376878905,-0.086580289,-0.005092958,-0.397250738,-0.015278875
0.835,-0.00071,-0.00012,-0.00001,-0.00078,-0.00002,,,-0.361600031,-0.061115498,-0.005092958,-0.397250738,-0.010185916
0.84,-0.00069,-0.00006,-0.00001,-0.00078,-0.00002,,,-0.351414114,-0.030557749,-0.005092958,-0.397250738,-0.010185916
0.845,-0.00066,-0.00005,-0.00001,-0.00078,-0.00002,,,-0.33613524,-0.025464791,-0.005092958,-0.397250738,-0.010185916
0.85,-0.00064,-0.00004,-0.00001,-0.00078,-0.00002,,,-0.325949323,-0.020371833,-0.005092958,-0.397250738,-0.010185916
0.855,-0.0006,-0.00004,-0.00001,-0.00076,-0.00002,,,-0.305577491,-0.020371833,-0.005092958,-0.387064822,-0.010185916
0.86,-0.00057,-0.00003,-0.00001,-0.00074,-0.00002,,,-0.290298616,-0.015278875,-0.005092958,-0.376878905,-0.010185916
0.865,-0.00054,-0.00003,-0.00001,-0.00072,-0.00002,,,-0.275019742,-0.015278875,-0.005092958,-0.366692989,-0.010185916
0.87,-0.00051,-0.00003,-0.00001,-0.00069,-0.00002,,,-0.259740867,-0.015278875,-0.005092958,-0.351414114,-0.010185916
0.875,-0.00047,-0.00003,-0.00001,-0.00067,-0.00002,,,-0.239369034,-0.015278875,-0.005092958,-0.341228198,-0.010185916
0.88,-0.00044,-0.00003,-0.00001,-0.00064,-0.00002,,,-0.22409016,-0.015278875,-0.005092958,-0.325949323,-0.010185916
0.885,-0.0004,-0.00003,-0.00001,-0.00061,-0.00002,,,-0.203718327,-0.015278875,-0.005092958,-0.310670449,-0.010185916
0.89,-0.00036,-0.00002,-0.00001,-0.00058,-0.00002,,,-0.183346494,-0.010185916,-0.005092958,-0.295391574,-0.010185916
0.895,-0.00032,-0.00002,-0.00001,-0.00054,-0.00002,,,-0.162974662,-0.010185916,-0.005092958,-0.275019742,-0.010185916
0.9,-0.00027,-0.00002,-0.00001,-0.00051,-0.00001,,,-0.137509871,-0.010185916,-0.005092958,-0.259740867,-0.005092958
0.905,-0.00023,-0.00002,-0.00001,-0.00047,-0.00001,,,-0.117138038,-0.010185916,-0.005092958,-0.239369034,-0.005092958
0.91,-0.00018,-0.00002,-0.00001,-0.00044,-0.00001,,,-0.091673247,-0.010185916,-0.005092958,-0.22409016,-0.005092958
0.915,-0.00013,-0.00002,-0.00001,-0.0004,-0.00001,,,-0.066208456,-0.010185916,-0.005092958,-0.203718327,-0.005092958
0.92,-0.00007,-0.00002,-0.00001,-0.00036,-0.00001,,,-0.035650707,-0.010185916,-0.005092958,-0.183346494,-0.005092958
0.925,-0.00005,-0.00002,-0.00001,-0.00032,-0.00001,,,-0.025464791,-0.010185916,-0.005092958,-0.162974662,-0.005092958
0.93,-0.00005,-0.00002,-0.00001,-0.00028,-0.00001,,,-0.025464791,-0.010185916,-0.005092958,-0.142602829,-0.005092958
0.935,-0.00004,-0.00002,-0.00001,-0.00023,-0.00001,,,-0.020371833,-0.010185916,-0.005092958,-0.117138038,-0.005092958
0.94,-0.00004,-0.00002,-0.00001,-0.00019,-0.00001,,,-0.020371833,-0.010185916,-0.005092958,-0.096766205,-0.005092958
0.945,-0.00004,-0.00002,-0.00001,-0.00013,-0.00001,,,-0.020371833,-0.010185916,-0.005092958,-0.066208456,-0.005092958
0.95,-0.00004,-0.00002,-0.00001,-0.00007,-0.00001,,,-0.020371833,-0.010185916,-0.005092958,-0.035650707,-0.005092958
0.955,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,,,-0.020371833,-0.010185916,-0.005092958,-0.020371833,-0.005092958
0.96,-0.00003,-0.00002,-0.00001,-0.00001,-0.00001,,,-0.015278875,-0.010185916,-0.005092958,-0.005092958,-0.005092958
0.965,-0.00003,-0.00002,-0.00001,0.00001,-0.00001,,,-0.015278875,-0.010185916,-0.005092958,0.005092958,-0.005092958
0.97,-0.00003,-0.00002,-0.00001,0.00004,-0.00001,,,-0.015278875,-0.010185916,-0.005092958,0.020371833,-0.005092958
0.975,-0.00003,-0.00002,-0.00001,0.00007,-0.00001,,,-0.015278875,-0.010185916,-0.005092958,0.035650707,-0.005092958
0.98,-0.00003,-0.00002,-0.00001,0.0001,-0.00001,,,-0.015278875,-0.010185916,-0.005092958,0.050929582,-0.005092958
0.985,-0.00001,-0.00002,-0.00001,0.00013,-0.00001,,,-0.005092958,-0.010185916,-0.005092958,0.066208456,-0.005092958
0.99,0.00001,-0.00002,-0.00001,0.00016,-0.00001,,,0.005092958,-0.010185916,-0.005092958,0.081487331,-0.005092958
0.995,0.00003,-0.00002,-0.00001,0.00019,-0.00001,,,0.015278875,-0.010185916,-0.005092958,0.096766205,-0.005092958
1,0.00006,-0.00001,-0.00001,0.00023,-0.00001,,,0.030557749,-0.005092958,-0.005092958,0.117138038,-0.005092958
1.005,0.00008,-0.00001,-0.00001,0.00026,-0.00001,,,0.040743665,-0.005092958,-0.005092958,0.132416913,-0.005092958
1.01,0.00011,-0.00001,-0.00001,0.0003,-0.00001,,,0.05602254,-0.005092958,-0.005092958,0.152788745,-0.005092958
1.015,0.00014,-0.00001,-0.00001,0.00034,-0.00001,,,0.071301415,-0.005092958,-0.005092958,0.173160578,-0.005092958
1.02,0.00017,-0.00001,-0.00001,0.00038,-0.00001,,,0.086580289,-0.005092958,-0.005092958,0.193532411,-0.005092958
1.025,0.0002,-0.00001,-0.00001,0.00042,-0.00001,,,0.101859164,-0.005092958,-0.005092958,0.213904244,-0.005092958
1.03,0.00024,-0.00001,-0.00001,0.00046,-0.00001,,,0.122230996,-0.005092958,-0.005092958,0.234276076,-0.005092958
1.035,0.00027,-0.00001,-0.00001,0.00051,-0.00001,,,0.137509871,-0.005092958,-0.005092958,0.259740867,-0.005092958
1.04,0.00031,-0.00001,-0.00001,0.00055,-0.00001,,,0.157881704,-0.005092958,-0.005092958,0.2801127,-0.005092958
1.045,0.00035,-0.00001,-0.00001,0.00061,-0.00001,,,0.178253536,-0.005092958,-0.005092958,0.310670449,-0.005092958
1.05,0.00038,-0.00001,-0.00001,0.00067,-0.00001,,,0.193532411,-0.005092958,-0.005092958,0.341228198,-0.005092958
1.055,0.00043,-0.00001,-0.00001,0.00068,-0.00001,,,0.218997202,-0.005092958,-0.005092958,0.346321156,-0.005092958
1.06,0.00047,-0.00001,-0.00001,0.00069,-0.00001,,,0.239369034,-0.005092958,-0.005092958,0.351414114,-0.005092958
1.065,0.00051,0,-0.00001,0.0007,-0.00001,,,0.259740867,0,-0.005092958,0.356507073,-0.005092958
1.07,0.00055,0.00002,-0.00001,0.0007,-0.00001,,,0.2801127,0.010185916,-0.005092958,0.356507073,-0.005092958
1.075,0.00061,0.00005,-0.00001,0.0007,-0.00001,,,0.310670449,0.025464791,-0.005092958,0.356507073,-0.005092958
1.08,0.00067,0.00007,-0.00001,0.00071,-0.00001,,,0.341228198,0.035650707,-0.005092958,0.361600031,-0.005092958
1.085,0.00069,0.00009,-0.00001,0.00071,-0.00001,,,0.351414114,0.045836624,-0.005092958,0.361600031,-0.005092958
1.09,0.00069,0.00012,-0.00001,0.00071,-0.00001,,,0.351414114,0.061115498,-0.005092958,0.361600031,-0.005092958
1.095,0.0007,0.00015,0,0.00071,-0.00001,,,0.356507073,0.076394373,0,0.361600031,-0.005092958
1.1,0.0007,0.00018,0,0.00071,-0.00001,,,0.356507073,0.091673247,0,0.361600031,-0.005092958
1.105,0.00071,0.00021,0,0.00071,0.00001,,,0.361600031,0.106952122,0,0.361600031,0.005092958
1.11,0.00071,0.00024,0,0.00072,0.00003,,,0.361600031,0.122230996,0,0.366692989,0.015278875
